Entity,Year,Active mobile money accounts
East Asia and Pacific,2010,1411639
East Asia and Pacific,2011,2075069
East Asia and Pacific,2012,1627240.1
East Asia and Pacific,2013,1989011.4
East Asia and Pacific,2014,3681180.8
East Asia and Pacific,2015,5746661.5
East Asia and Pacific,2016,13457297
East Asia and Pacific,2017,26624638
East Asia and Pacific,2018,43163260
East Asia and Pacific,2019,69527500
East Asia and Pacific,2020,90104860
East Asia and Pacific,2021,107046320
East Asia and Pacific,2022,124215224
East Asia and Pacific,2023,133220340
East Asia and Pacific,2024,149984820
Europe and Central Asia,2010,187530.45
Europe and Central Asia,2011,321415.62
Europe and Central Asia,2012,355036
Europe and Central Asia,2013,475998.44
Europe and Central Asia,2014,615001.75
Europe and Central Asia,2015,1293090.4
Europe and Central Asia,2016,2992502.8
Europe and Central Asia,2017,4619484
Europe and Central Asia,2018,5788237
Europe and Central Asia,2019,6830070
Europe and Central Asia,2020,7245852.5
Europe and Central Asia,2021,9526118
Europe and Central Asia,2022,10863175
Europe and Central Asia,2023,11444306
Europe and Central Asia,2024,11045833
Latin America and the Caribbean,2010,79433.22
Latin America and the Caribbean,2011,778453.75
Latin America and the Caribbean,2012,1742364.4
Latin America and the Caribbean,2013,4502196
Latin America and the Caribbean,2014,6595521
Latin America and the Caribbean,2015,8763943
Latin America and the Caribbean,2016,9882982
Latin America and the Caribbean,2017,11885771
Latin America and the Caribbean,2018,13438555
Latin America and the Caribbean,2019,13647434
Latin America and the Caribbean,2020,22070724
Latin America and the Caribbean,2021,27577550
Latin America and the Caribbean,2022,31201750
Latin America and the Caribbean,2023,36022870
Latin America and the Caribbean,2024,30320092
Middle East and North Africa,2010,51991.035
Middle East and North Africa,2011,78126.48
Middle East and North Africa,2012,1383115.9
Middle East and North Africa,2013,6133589
Middle East and North Africa,2014,6318401.5
Middle East and North Africa,2015,12391175
Middle East and North Africa,2016,15192464
Middle East and North Africa,2017,17858640
Middle East and North Africa,2018,18411452
Middle East and North Africa,2019,3951344.2
Middle East and North Africa,2020,4051167
Middle East and North Africa,2021,7307418.5
Middle East and North Africa,2022,10876279
Middle East and North Africa,2023,15099329
Middle East and North Africa,2024,19333152
South Asia,2010,957771.6
South Asia,2011,1050089
South Asia,2012,2769991.8
South Asia,2013,11276791
South Asia,2014,21195138
South Asia,2015,36548012
South Asia,2016,56030144
South Asia,2017,71134120
South Asia,2018,87211100
South Asia,2019,82927000
South Asia,2020,94404830
South Asia,2021,101637760
South Asia,2022,116046140
South Asia,2023,124917784
South Asia,2024,139414600
Sub-Saharan Africa,2010,10431262
Sub-Saharan Africa,2011,16535769
Sub-Saharan Africa,2012,27475952
Sub-Saharan Africa,2013,41734932
Sub-Saharan Africa,2014,62225136
Sub-Saharan Africa,2015,83782600
Sub-Saharan Africa,2016,103285130
Sub-Saharan Africa,2017,129925890
Sub-Saharan Africa,2018,160472940
Sub-Saharan Africa,2019,190961090
Sub-Saharan Africa,2020,227375280
Sub-Saharan Africa,2021,274293980
Sub-Saharan Africa,2022,308724770
Sub-Saharan Africa,2023,370489950
Sub-Saharan Africa,2024,430034750