Name,Club
George Graham,Arsenal
Stewart Houston,Arsenal
Bruce Rioch,Arsenal
Stewart Houston,Arsenal
Pat Rice,Arsenal
Arsène Wenger,Arsenal
Unai Emery,Arsenal
Freddie Ljungberg,Arsenal
Mikel Arteta,Arsenal
Ron Atkinson,Aston Villa
Brian Little,Aston Villa
John Gregory,Aston Villa
John Deehan,Aston Villa
Stuart Gray,Aston Villa
Graham Taylor,Aston Villa
David O'Leary,Aston Villa
Martin O'Neill,Aston Villa
Kevin MacDonald,Aston Villa
Gérard Houllier,Aston Villa
Gary McAllister,Aston Villa
Alex McLeish,Aston Villa
Paul Lambert,Aston Villa
Scott Marshall,Aston Villa
Tim Sherwood,Aston Villa
Kevin MacDonald,Aston Villa
Rémi Garde,Aston Villa
Eric Black,Aston Villa
Dean Smith,Aston Villa
Steven Gerrard,Aston Villa
Aaron Danks,Aston Villa
Unai Emery,Aston Villa
Danny Wilson,Barnsley
Steve Bruce,Birmingham City
Eric Black,Birmingham City
Alex McLeish,Birmingham City
Kenny Dalglish,Blackburn Rovers
Ray Harford,Blackburn Rovers
Tony Parkes,Blackburn Rovers
Roy Hodgson,Blackburn Rovers
Brian Kidd,Blackburn Rovers
Graeme Souness,Blackburn Rovers
Mark Hughes,Blackburn Rovers
Paul Ince,Blackburn Rovers
Sam Allardyce,Blackburn Rovers
Steve Kean,Blackburn Rovers
Ian Holloway,Blackpool
Roy McFarland,Bolton Wanderers
Colin Todd,Bolton Wanderers
Sam Allardyce,Bolton Wanderers
Sammy Lee,Bolton Wanderers
Archie Knox,Bolton Wanderers
Gary Megson,Bolton Wanderers
Owen Coyle,Bolton Wanderers
Eddie Howe,Bournemouth
Scott Parker,Bournemouth
Gary O'Neil,Bournemouth
Andoni Iraola,Bournemouth
Paul Jewell,Bradford City
Chris Hutchings,Bradford City
Stuart McCall,Bradford City
Jim Jefferies,Bradford City
Thomas Frank,Brentford
Keith Andrews,Brentford
Chris Hughton,Brighton & Hove Albion
Graham Potter,Brighton & Hove Albion
Roberto De Zerbi,Brighton & Hove Albion
Fabian Hürzeler,Brighton & Hove Albion
Owen Coyle,Burnley
Brian Laws,Burnley
Sean Dyche,Burnley
Mike Jackson,Burnley
Vincent Kompany,Burnley
Malky Mackay,Cardiff City
David Kerslake,Cardiff City
Ole Gunnar Solskjær,Cardiff City
Neil Warnock,Cardiff City
Alan Curbishley,Charlton Athletic
Iain Dowie,Charlton Athletic
Les Reed,Charlton Athletic
Alan Pardew,Charlton Athletic
Ian Porterfield,Chelsea
David Webb,Chelsea
Glenn Hoddle,Chelsea
Ruud Gullit,Chelsea
Gianluca Vialli,Chelsea
Graham Rix,Chelsea
Ray Wilkins,Chelsea
Claudio Ranieri,Chelsea
José Mourinho,Chelsea
Avram Grant,Chelsea
Luiz Felipe Scolari,Chelsea
Ray Wilkins,Chelsea
Guus Hiddink,Chelsea
Carlo Ancelotti,Chelsea
André Villas-Boas,Chelsea
Roberto Di Matteo,Chelsea
Rafael Benítez,Chelsea
José Mourinho,Chelsea
Steve Holland,Chelsea
Guus Hiddink,Chelsea
Antonio Conte,Chelsea
Maurizio Sarri,Chelsea
Frank Lampard,Chelsea
Thomas Tuchel,Chelsea
Graham Potter,Chelsea
Bruno Saltor,Chelsea
Frank Lampard,Chelsea
Mauricio Pochettino,Chelsea
Enzo Maresca,Chelsea
Bobby Gould,Coventry City
Phil Neal,Coventry City
Ron Atkinson,Coventry City
Gordon Strachan,Coventry City
Steve Coppell,Crystal Palace
Alan Smith,Crystal Palace
Steve Coppell,Crystal Palace
Attilio Lombardo,Crystal Palace
Tomas Brolin,Crystal Palace
Ron Noades,Crystal Palace
Ray Lewington,Crystal Palace
Iain Dowie,Crystal Palace
Ian Holloway,Crystal Palace
Keith Millen,Crystal Palace
Tony Pulis,Crystal Palace
Keith Millen,Crystal Palace
Neil Warnock,Crystal Palace
Keith Millen,Crystal Palace
Alan Pardew,Crystal Palace
Sam Allardyce,Crystal Palace
Frank de Boer,Crystal Palace
Roy Hodgson,Crystal Palace
Patrick Vieira,Crystal Palace
Paddy McCarthy,Crystal Palace
Roy Hodgson,Crystal Palace
Paddy McCarthy,Crystal Palace
Oliver Glasner,Crystal Palace
Jim Smith,Derby County
Colin Todd,Derby County
Billy McEwan,Derby County
John Gregory,Derby County
Billy Davies,Derby County
Paul Jewell,Derby County
Howard Kendall,Everton
Jimmy Gabriel,Everton
Mike Walker,Everton
Joe Royle,Everton
Dave Watson,Everton
Howard Kendall,Everton
Walter Smith,Everton
David Moyes,Everton
Roberto Martínez,Everton
David Unsworth,Everton
Ronald Koeman,Everton
David Unsworth,Everton
Sam Allardyce,Everton
Marco Silva,Everton
Duncan Ferguson,Everton
Carlo Ancelotti,Everton
Rafael Benítez,Everton
Duncan Ferguson,Everton
Frank Lampard,Everton
Sean Dyche,Everton
David Moyes,Everton
Jean Tigana,Fulham
Chris Coleman,Fulham
Lawrie Sanchez,Fulham
Ray Lewington,Fulham
Roy Hodgson,Fulham
Ray Lewington,Fulham
Mark Hughes,Fulham
Martin Jol,Fulham
René Meulensteen,Fulham
Felix Magath,Fulham
Slaviša Jokanović,Fulham
Claudio Ranieri,Fulham
Scott Parker,Fulham
Marco Silva,Fulham
David Wagner,Huddersfield Town
Mark Hudson,Huddersfield Town
Jan Siewert,Huddersfield Town
Phil Brown,Hull City
Iain Dowie,Hull City
Steve Bruce,Hull City
Mike Phelan,Hull City
Marco Silva,Hull City
John Lyall,Ipswich Town
Paul Goddard,Ipswich Town
John Wark,Ipswich Town
George Burley,Ipswich Town
Kieran McKenna,Ipswich Town
Howard Wilkinson,Leeds United
George Graham,Leeds United
David O'Leary,Leeds United
Terry Venables,Leeds United
Peter Reid,Leeds United
Eddie Gray,Leeds United
Marcelo Bielsa,Leeds United
Jesse Marsch,Leeds United
Michael Skubala,Leeds United
Javi Gracia,Leeds United
Sam Allardyce,Leeds United
Daniel Farke,Leeds United
Brian Little,Leicester City
Kevin MacDonald,Leicester City
Mark McGhee,Leicester City
Martin O'Neill,Leicester City
Peter Taylor,Leicester City
Dave Bassett,Leicester City
Micky Adams,Leicester City
Nigel Pearson,Leicester City
Claudio Ranieri,Leicester City
Craig Shakespeare,Leicester City
Michael Appleton,Leicester City
Claude Puel,Leicester City
Adam Sadler,Leicester City
Mike Stowell,Leicester City
Brendan Rodgers,Leicester City
Adam Sadler,Leicester City
Mike Stowell,Leicester City
Dean Smith,Leicester City
Graeme Souness,Liverpool
Roy Evans,Liverpool
Gérard Houllier,Liverpool
Phil Thompson,Liverpool
Gérard Houllier,Liverpool
Rafael Benítez,Liverpool
Roy Hodgson,Liverpool
Kenny Dalglish,Liverpool
Brendan Rodgers,Liverpool
Jürgen Klopp,Liverpool
Arne Slot,Liverpool
Rob Edwards,Luton Town
Peter Reid,Manchester City
Tony Book,Manchester City
Brian Horton,Manchester City
Alan Ball,Manchester City
Joe Royle,Manchester City
Kevin Keegan,Manchester City
Stuart Pearce,Manchester City
Sven-Göran Eriksson,Manchester City
Mark Hughes,Manchester City
Roberto Mancini,Manchester City
Brian Kidd,Manchester City
Manuel Pellegrini,Manchester City
Pep Guardiola,Manchester City
Alex Ferguson,Manchester United
David Moyes,Manchester United
Ryan Giggs,Manchester United
Louis van Gaal,Manchester United
José Mourinho,Manchester United
Ole Gunnar Solskjær,Manchester United
Michael Carrick,Manchester United
Ralf Rangnick,Manchester United
Erik ten Hag,Manchester United
Ruud van Nistelrooy,Manchester United
Ruben Amorim,Manchester United
Darren Fletcher,Manchester United
Lennie Lawrence,Middlesbrough
Bryan Robson,Middlesbrough
Terry Venables,Middlesbrough
Steve McClaren,Middlesbrough
Gareth Southgate,Middlesbrough
Aitor Karanka,Middlesbrough
Steve Agnew,Middlesbrough
Kevin Keegan,Newcastle United
Terry McDermott,Newcastle United
Kenny Dalglish,Newcastle United
Ruud Gullit,Newcastle United
Steve Clarke,Newcastle United
Bobby Robson,Newcastle United
John Carver,Newcastle United
Graeme Souness,Newcastle United
Glenn Roeder,Newcastle United
Nigel Pearson,Newcastle United
Sam Allardyce,Newcastle United
Nigel Pearson,Newcastle United
Kevin Keegan,Newcastle United
Chris Hughton,Newcastle United
Joe Kinnear,Newcastle United
Alan Shearer,Newcastle United
Chris Hughton,Newcastle United
Alan Pardew,Newcastle United
John Carver,Newcastle United
Steve McClaren,Newcastle United
Rafael Benítez,Newcastle United
Steve Bruce,Newcastle United
Graeme Jones,Newcastle United
Eddie Howe,Newcastle United
Mike Walker,Norwich City
John Deehan,Norwich City
Nigel Worthington,Norwich City
Paul Lambert,Norwich City
Chris Hughton,Norwich City
Neil Adams,Norwich City
Alex Neil,Norwich City
Daniel Farke,Norwich City
Dean Smith,Norwich City
Brian Clough,Nottingham Forest
Frank Clark,Nottingham Forest
Stuart Pearce,Nottingham Forest
Dave Bassett,Nottingham Forest
Micky Adams,Nottingham Forest
Ron Atkinson,Nottingham Forest
Steve Cooper,Nottingham Forest
Steve Cooper,Leicester City
Nuno Espírito Santo,Nottingham Forest
Ange Postecoglou,Nottingham Forest
Sean Dyche,Nottingham Forest
Joe Royle,Oldham Athletic
Harry Redknapp,Portsmouth
Velimir Zajec,Portsmouth
Alain Perrin,Portsmouth
Joe Jordan,Portsmouth
Harry Redknapp,Portsmouth
Joe Jordan,Portsmouth
Tony Adams,Portsmouth
Paul Hart,Portsmouth
Avram Grant,Portsmouth
Gerry Francis,Queens Park Rangers
Ray Wilkins,Queens Park Rangers
Neil Warnock,Queens Park Rangers
Mark Hughes,Queens Park Rangers
Mark Bowen,Queens Park Rangers
Harry Redknapp,Queens Park Rangers
Kevin Bond,Queens Park Rangers
Chris Ramsey,Queens Park Rangers
Steve Coppell,Reading
Brian McDermott,Reading
Nigel Adkins,Reading
Dave Bassett,Sheffield United
Neil Warnock,Sheffield United
Chris Wilder,Sheffield United
Paul Heckingbottom,Sheffield United
Paul Heckingbottom,Sheffield United
Chris Wilder,Sheffield United
Trevor Francis,Sheffield Wednesday
David Pleat,Sheffield Wednesday
Peter Shreeves,Sheffield Wednesday
Ron Atkinson,Sheffield Wednesday
Danny Wilson,Sheffield Wednesday
Peter Shreeves,Sheffield Wednesday
Ian Branfoot,Southampton
Alan Ball,Southampton
Dave Merrington,Southampton
Graeme Souness,Southampton
Dave Jones,Southampton
Glenn Hoddle,Southampton
Stuart Gray,Southampton
Gordon Strachan,Southampton
Steve Wigley,Southampton
Paul Sturrock,Southampton
Steve Wigley,Southampton
Harry Redknapp,Southampton
Nigel Adkins,Southampton
Mauricio Pochettino,Southampton
Ronald Koeman,Southampton
Claude Puel,Southampton
Mauricio Pellegrino,Southampton
Mark Hughes,Southampton
Kelvin Davis,Southampton
Ralph Hasenhüttl,Southampton
Rubén Sellés,Southampton
Nathan Jones,Southampton
Rubén Sellés,Southampton
Russell Martin,Southampton
Ivan Jurić,Southampton
Simon Rusk,Southampton
Tony Pulis,Stoke City
Mark Hughes,Stoke City
Eddie Niedzwiecki,Stoke City
Paul Lambert,Stoke City
Peter Reid,Sunderland
Howard Wilkinson,Sunderland
Mick McCarthy,Sunderland
Kevin Ball,Sunderland
Roy Keane,Sunderland
Ricky Sbragia,Sunderland
Steve Bruce,Sunderland
Martin O'Neill,Sunderland
Paolo Di Canio,Sunderland
Kevin Ball,Sunderland
Gus Poyet,Sunderland
Dick Advocaat,Sunderland
Sam Allardyce,Sunderland
David Moyes,Sunderland
Regis Le Bris,Sunderland
Brendan Rodgers,Swansea City
Michael Laudrup,Swansea City
Garry Monk,Swansea City
Alan Curtis,Swansea City
Francesco Guidolin,Swansea City
Bob Bradley,Swansea City
Alan Curtis,Swansea City
Paul Clement,Swansea City
Leon Britton,Swansea City
Carlos Carvalhal,Swansea City
John Gorman,Swindon Town
Doug Livermore,Tottenham Hotspur
Ossie Ardiles,Tottenham Hotspur
Steve Perryman,Tottenham Hotspur
Gerry Francis,Tottenham Hotspur
Christian Gross,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Chris Hughton,Tottenham Hotspur
George Graham,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Glenn Hoddle,Tottenham Hotspur
David Pleat,Tottenham Hotspur
Jacques Santini,Tottenham Hotspur
Martin Jol,Tottenham Hotspur
Clive Allen,Tottenham Hotspur
Alex Inglethorpe,Tottenham Hotspur
Juande Ramos,Tottenham Hotspur
Clive Allen,Tottenham Hotspur
Harry Redknapp,Tottenham Hotspur
André Villas-Boas,Tottenham Hotspur
Tim Sherwood,Tottenham Hotspur
Mauricio Pochettino,Tottenham Hotspur
José Mourinho,Tottenham Hotspur
Ryan Mason,Tottenham Hotspur
Nuno Espírito Santo,Tottenham Hotspur
Antonio Conte,Tottenham Hotspur
Cristian Stellini,Tottenham Hotspur
Ryan Mason,Tottenham Hotspur
Ange Postecoglou,Tottenham Hotspur
Thomas Frank,Tottenham Hotspur
Graham Taylor,Watford
Aidy Boothroyd,Watford
Quique Sánchez Flores,Watford
Walter Mazzarri,Watford
Marco Silva,Watford
Javi Gracia,Watford
Quique Sánchez Flores,Watford
Hayden Mullins,Watford
Nigel Pearson,Watford
Hayden Mullins,Watford
Xisco Muñoz,Watford
Claudio Ranieri,Watford
Roy Hodgson,Watford
Gary Megson,West Bromwich Albion
Frank Burrows,West Bromwich Albion
Bryan Robson,West Bromwich Albion
Tony Mowbray,West Bromwich Albion
Roberto Di Matteo,West Bromwich Albion
Michael Appleton,West Bromwich Albion
Roy Hodgson,West Bromwich Albion
Steve Clarke,West Bromwich Albion
Keith Downing,West Bromwich Albion
Pepe Mel,West Bromwich Albion
Alan Irvine,West Bromwich Albion
Rob Kelly,West Bromwich Albion
Tony Pulis,West Bromwich Albion
Gary Megson,West Bromwich Albion
Alan Pardew,West Bromwich Albion
Darren Moore,West Bromwich Albion
Slaven Bilić,West Bromwich Albion
Sam Allardyce,West Bromwich Albion
Billy Bonds,West Ham United
Harry Redknapp,West Ham United
Glenn Roeder,West Ham United
Trevor Brooking,West Ham United
Alan Pardew,West Ham United
Alan Curbishley,West Ham United
Kevin Keen,West Ham United
Gianfranco Zola,West Ham United
Avram Grant,West Ham United
Kevin Keen,West Ham United
Sam Allardyce,West Ham United
Slaven Bilić,West Ham United
David Moyes,West Ham United
Manuel Pellegrini,West Ham United
David Moyes,West Ham United
Julen Lopetegui,West Ham United
Graham Potter,West Ham United
Nuno Espírito Santo,West Ham United
Paul Jewell,Wigan Athletic
Chris Hutchings,Wigan Athletic
Frank Barlow,Wigan Athletic
Steve Bruce,Wigan Athletic
Roberto Martínez,Wigan Athletic
Joe Kinnear,Wimbledon
Egil Olsen,Wimbledon
Terry Burton,Wimbledon
Dave Jones,Wolverhampton Wanderers
Mick McCarthy,Wolverhampton Wanderers
Terry Connor,Wolverhampton Wanderers
Nuno Espírito Santo,Wolverhampton Wanderers
Bruno Lage,Wolverhampton Wanderers
Steve Davis,Wolverhampton Wanderers
Julen Lopetegui,Wolverhampton Wanderers
Vítor Pereira,Wolverhampton Wanderers
Rob Edwards,Wolverhampton Wanderers
Gary O'Neil,Wolverhampton Wanderers
Ruud van Nistelrooy,Leicester City
